,species_richness,ornamentation,environmental_breadth,geographic_range,occurrence,body_size,survival_status,lithology_carbonate,lithology_mixed,lithology_others,lithology_siliciclastic,life_mode_epifaunal,life_mode_infaunal,life_mode_semi-infaunal,motility_mobile,motility_stationary,feeding_mode_carnivore,feeding_mode_chemosymbiotic,feeding_mode_deposit feeder,feeding_mode_herbivore,feeding_mode_photosymbiotic,feeding_mode_suspension feeder,shell_mineralogy_aragonite,shell_mineralogy_low Mg calcite
57,0.20000000000000004,0.5,0.16666666666666666,0.07142857142857142,0.0041237113402061865,0.47463457276972565,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
58,0.0,0.5,0.0,0.0,0.0,0.5290827634203537,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
59,0.20000000000000004,1.0,0.33333333333333337,0.14285714285714285,0.0041237113402061865,0.74797399516541,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
60,0.0,0.5,0.16666666666666666,0.07142857142857142,0.010309278350515465,0.623948204223246,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
61,0.0,1.0,0.0,0.0,0.0,0.6479102591577867,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0
62,0.0,1.0,0.33333333333333337,0.3571428571428571,0.04948453608247423,1.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
63,0.20000000000000004,1.0,0.5,0.14285714285714285,0.030927835051546393,0.7090906201780202,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
64,0.1,1.0,0.16666666666666666,0.07142857142857142,0.020618556701030927,0.43370824741868996,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
65,0.0,1.0,0.16666666666666666,0.07142857142857142,0.04948453608247423,0.49940049933083697,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
66,0.0,0.0,0.0,0.0,0.0,0.7577017423213408,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
67,0.20000000000000004,0.5,0.33333333333333337,0.14285714285714285,0.06185567010309278,0.5255003773569805,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
68,0.0,0.5,0.0,0.0,0.0,0.39849776349934296,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
69,0.0,0.5,0.33333333333333337,0.0,0.0041237113402061865,0.5372602093949589,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
70,0.1,0.5,0.5,0.14285714285714285,0.0865979381443299,0.5211918462682265,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
71,0.7000000000000001,1.0,0.6666666666666666,0.3571428571428571,0.44948453608247424,0.5071944979058113,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
72,0.0,0.5,0.0,0.0,0.0,0.48520556782728297,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
73,0.0,0.5,0.0,0.07142857142857142,0.002061855670103093,0.38916182155314805,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
74,0.0,0.5,0.16666666666666666,0.07142857142857142,0.002061855670103093,0.028615495151497278,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
75,0.0,0.5,0.16666666666666666,0.07142857142857142,0.002061855670103093,0.9419605540402756,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
76,0.8,0.5,0.9999999999999999,0.6428571428571428,0.6144329896907217,0.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
77,0.0,0.5,0.5,0.14285714285714285,0.15463917525773196,0.902681995895813,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
78,0.30000000000000004,0.5,0.6666666666666666,0.21428571428571427,0.5175257731958763,0.08791516406546931,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
79,0.1,0.5,0.16666666666666666,0.07142857142857142,0.008247422680412371,0.450858324260341,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
80,0.1,0.5,0.33333333333333337,0.21428571428571427,0.016494845360824743,0.6884803188973472,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
81,0.8,1.0,0.8333333333333334,0.5714285714285714,0.17938144329896907,0.7408174213238637,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
82,0.5000000000000001,0.5,0.6666666666666666,0.2857142857142857,0.39793814432989694,0.7346731186559167,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
83,0.0,0.5,0.33333333333333337,0.07142857142857142,0.12577319587628866,0.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
84,0.0,0.0,0.0,0.0,0.0,0.4665481918732911,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0
85,0.4,0.5,0.6666666666666666,0.21428571428571427,0.12577319587628866,0.4467363758247953,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
86,0.0,0.5,0.0,0.0,0.0,0.623173904378105,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
87,0.0,0.5,0.33333333333333337,0.14285714285714285,0.19175257731958764,0.7504128607502997,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
88,0.8,0.5,0.5,0.2857142857142857,0.7711340206185567,0.6126220990662717,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
89,0.0,0.5,0.33333333333333337,0.07142857142857142,0.0288659793814433,0.5040182534087474,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
90,0.0,0.5,0.33333333333333337,0.14285714285714285,0.3443298969072165,0.6747983940674664,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
91,0.0,0.5,0.0,0.0,0.0,0.5211918462682265,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
92,0.0,0.0,0.0,0.0,0.0,0.5335875943259903,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
93,0.0,0.0,0.16666666666666666,0.07142857142857142,0.002061855670103093,0.638752976441902,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
94,0.0,0.0,0.0,0.0,0.0,0.18219005965147592,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
95,0.0,0.5,0.16666666666666666,0.07142857142857142,0.002061855670103093,0.46050093306222084,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
96,0.1,1.0,0.5,0.14285714285714285,0.022680412371134023,0.3961351093793637,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
97,0.0,0.5,0.0,0.0,0.0,0.4198489679894164,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1
98,0.0,0.0,0.33333333333333337,0.14285714285714285,0.012371134020618558,0.3814893369529184,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
99,0.0,0.5,0.16666666666666666,0.0,0.04742268041237114,0.4311485253635261,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
100,0.1,0.5,0.16666666666666666,0.07142857142857142,0.0041237113402061865,0.7301465754456263,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
101,0.0,0.0,0.16666666666666666,0.0,0.020618556701030927,0.6201505415026172,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
102,0.0,0.0,0.16666666666666666,0.0,0.006185567010309279,0.5616830319854647,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
103,0.0,0.0,0.0,0.0,0.0,0.4264814379340576,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0
104,0.0,0.5,0.0,0.0,0.002061855670103093,0.5979229874052484,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0
105,0.1,0.0,0.6666666666666666,0.4285714285714286,0.07422680412371134,0.6122800560195443,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
106,0.0,0.5,0.16666666666666666,0.0,0.008247422680412371,0.7891609693736683,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
107,0.5000000000000001,0.0,0.5,0.2857142857142857,0.04536082474226804,0.450858324260341,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
108,0.0,0.5,0.0,0.0,0.0041237113402061865,0.654670152535368,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
